var,name,hemi,cog,cog2,sys,region_ggseg,region,python-ggseg
cdmdfrrh,Middle Frontal Gyrus- Caudal,right,visual processing,attention,triple network,middle frontal gyrus- caudal,caudal middle frontal,
cmflh,Middle Frontal Gyrus- Caudal,left,visual processing,attention,triple network,middle frontal gyrus- caudal,caudal middle frontal,
cmfrh,Middle Frontal Gyrus- Caudal,right,visual processing,attention,triple network,middle frontal gyrus- caudal,caudal middle frontal,
rlmdflh,Middle Frontal Gyrus- Rostral,left,executive function,emotion,executive function,middle frontal gyrus- rostral,rostral middle frontal,
rlmdfrh,Middle Frontal Gyrus- Rostral,right,executive function,emotion,executive function,middle frontal gyrus- rostral,rostral middle frontal,
rmflh,Middle Frontal Gyrus- Rostral,left,executive function,emotion,executive function,middle frontal gyrus- rostral,rostral middle frontal,
rmfrh,Middle Frontal Gyrus- Rostral,right,executive function,emotion,executive function,middle frontal gyrus- rostral,rostral middle frontal,
rrmdfrlh,Middle Frontal Gyrus- Rostral,left,executive function,emotion,executive function,middle frontal gyrus- rostral,rostral middle frontal,
rrmdfrrh,Middle Frontal Gyrus- Rostral,right,executive function,emotion,executive function,middle frontal gyrus- rostral,rostral middle frontal,
mdtlh,Middle Temporal Gyrus,left,language,visual processing,language,middle temporal gyrus,middle temporal,
mdtmlh,Middle Temporal Gyrus,left,language,visual processing,language,middle temporal gyrus,middle temporal,
mdtmrh,Middle Temporal Gyrus,right,language,visual processing,language,middle temporal gyrus,middle temporal,
mdtrh,Middle Temporal Gyrus,right,language,visual processing,language,middle temporal gyrus,middle temporal,
mtlh,Middle Temporal Gyrus,left,language,visual processing,language,middle temporal gyrus,middle temporal,
mtrh,Middle Temporal Gyrus,right,language,visual processing,language,middle temporal gyrus,middle temporal,
loccipitallh,Occipital Cortex - Lateral,left,visual processing,,sensory/motor,occipital cortex - lateral,lateral occipital,
loccipitalrh,Occipital Cortex - Lateral,right,visual processing,,sensory/motor,occipital cortex - lateral,lateral occipital,
locclh,Occipital Cortex - Lateral,left,visual processing,,sensory/motor,occipital cortex - lateral,lateral occipital,
loccrh,Occipital Cortex - Lateral,right,visual processing,,sensory/motor,occipital cortex - lateral,lateral occipital,
lolh,Occipital Cortex - Lateral,left,visual processing,,sensory/motor,occipital cortex - lateral,lateral occipital,
lorh,Occipital Cortex - Lateral,right,visual processing,,sensory/motor,occipital cortex - lateral,lateral occipital,
